id,date_in,date_out,name,type,breed,color,age_out,outcome_type,intake_type,intake_condition,sex_upon_intake,age_in,outcome_subtype,sex_upon_outcome
A708613,2015-07-29,2015-08-06,Gia,Cat,Domestic Medium Hair Mix,Gray,Adult,Adopted,Owner Surrender,Normal,Spayed Female,6 years,NA,Spayed Female
A667809,2013-11-23,2013-11-30,Lily,Dog,German Shepherd Mix,Brown,Baby,Adopted,Stray,Normal,Intact Female,1 month,NA,Spayed Female
A688397,2014-09-18,2014-09-19,N/A,Other,Bat,Brown,Baby,Deceased,Wildlife,Normal,Unknown,4 weeks,Rabies Risk,Unknown
A764426,2018-01-02,2018-01-09,Kristoff,Cat,Domestic Medium Hair Mix,Mixed,Baby,Returned to Owner,Public Assist,Normal,Unknown,7 months,NA,Unknown
A732546,2016-08-09,2016-08-23,Nova,Dog,Pit Bull Mix,Mixed,Young,Adopted,Stray,Normal,Intact Female,1 year,NA,Spayed Female
A691731,2014-11-08,2014-12-31,Stella,Dog,Pit Bull Mix,White,Young,Adopted,Stray,Normal,Spayed Female,2 years,NA,Spayed Female
A796369,2019-05-31,2019-06-04,Benji,Cat,Domestic Shorthair Mix,Mixed,Baby,Transferred,Stray,Normal,Intact Male,3 weeks,Partner,Intact Male
A757777,2018-06-13,2018-06-22,Rex,Dog,German Shepherd Mix,Black,Young,Transferred,Owner Surrender,Normal,Neutered Male,1 year,Partner,Neutered Male
A728526,2016-06-05,2016-06-06,N/A,Cat,Domestic Shorthair Mix,Mixed,Young,Transferred,Stray,Normal,Intact Female,1 year,SCRP,Spayed Female
A786727,2018-12-31,2019-01-03,Cartman,Dog,Miniature Schnauzer Mix,White,Senior,Returned to Owner,Stray,Normal,Neutered Male,8 years,NA,Neutered Male
A743806,2017-02-17,2017-02-25,N/A,Other,Barred Rock Mix,Black,Young,Transferred,Stray,Normal,Intact Male,1 year,Partner,Intact Male
A752277,2017-06-20,2018-04-05,Nina,Dog,Chihuahua Shorthair Mix,Black,Adult,Adopted,Stray,Injured,Intact Female,4 years,Foster,Spayed Female
A750029,2017-05-22,2017-07-01,Pepper,Cat,Domestic Shorthair Mix,Orange,Baby,Adopted,Stray,Normal,Intact Male,4 weeks,Foster,Neutered Male
A791290,2019-03-23,2019-04-01,Pixie,Dog,Shih Tzu/Maltese,White,Baby,Transferred,Public Assist,Injured,Intact Female,3 months,Partner,Intact Female
A688717,2014-09-22,2014-11-08,Piglet,Dog,Labrador Retriever/Border Collie,Black,Baby,Adopted,Stray,Injured,Intact Female,4 weeks,Foster,Spayed Female
A804814,2019-12-01,2019-12-06,Kiki,Dog,Pit Bull,Gray,Young,Adopted,Owner Surrender,Normal,Spayed Female,1 year,NA,Spayed Female
A762652,2017-11-22,2017-11-27,N/A,Dog,Pit Bull Mix,Gray,Baby,Adopted,Stray,Normal,Intact Female,2 months,NA,Spayed Female
A730514,2016-07-05,2016-07-06,N/A,Cat,Domestic Shorthair Mix,Mixed,Young,Transferred,Stray,Normal,Intact Female,1 year,SCRP,Spayed Female
A690519,2014-10-21,2014-10-23,N/A,Cat,Domestic Shorthair Mix,Mixed,Baby,Transferred,Stray,Normal,Intact Male,4 months,SCRP,Intact Male
A766150,2018-02-03,2018-02-08,N/A,Cat,Siamese Mix,Mixed,Baby,Transferred,Stray,Normal,Neutered Male,10 years,Partner,Neutered Male
A710135,2015-08-18,2015-08-19,Bite Cat,Cat,Domestic Longhair Mix,Gray,Young,Transferred,Stray,Normal,Spayed Female,2 years,SCRP,Spayed Female
A761790,2017-11-12,2017-11-20,Mini,Dog,Chihuahua Shorthair,Black,Young,Returned to Owner,Public Assist,Normal,Intact Female,2 years,NA,Spayed Female
A725417,2016-05-07,2016-05-08,Artemis,Cat,Domestic Shorthair Mix,Black,Adult,Returned to Owner,Public Assist,Normal,Neutered Male,14 years,NA,Neutered Male
A677458,2014-04-25,2015-03-28,Buddy,Dog,Labrador Retriever/Boxer,Brown,Young,Adopted,Stray,Injured,Intact Male,2 years,NA,Neutered Male
A664448,2013-10-03,2013-10-03,N/A,Cat,Domestic Shorthair Mix,Mixed,Baby,Transferred,Stray,Normal,Intact Male,4 months,SCRP,Intact Male
A782435,2018-10-14,2018-10-18,N/A,Cat,Domestic Shorthair Mix,Orange,Baby,Adopted,Stray,Normal,Intact Female,2 months,NA,Spayed Female
A776949,2018-10-06,2018-10-05,Twitch,Cat,Domestic Shorthair Mix,Black,Young,Adopted,Owner Surrender,Normal,Neutered Male,12 years,NA,Neutered Male
A806227,2019-10-07,2019-11-03,Coco,Cat,Domestic Shorthair Mix,Mixed,Baby,Adopted,Owner Surrender,Normal,Intact Female,5 months,NA,Spayed Female
A716057,2015-11-13,2015-11-13,N/A,Cat,Siamese Mix,Orange,Baby,Transferred,Stray,Normal,Intact Female,3 weeks,Partner,Intact Female
A702769,2015-05-17,2015-05-17,N/A,Cat,Domestic Shorthair Mix,Black,Baby,Transferred,Stray,Normal,Intact Female,3 weeks,Partner,Intact Female
A811017,2019-12-26,2019-12-30,N/A,Cat,Domestic Shorthair,Mixed,Young,Transferred,Stray,Normal,Intact Female,2 years,Snr,Intact Female
A686932,2014-08-29,2014-08-29,N/A,Cat,Domestic Shorthair Mix,Black,Baby,Transferred,Stray,Normal,Intact Male,3 weeks,Partner,Intact Male
A685981,2014-08-15,2014-08-19,Max,Dog,Yorkshire Terrier Mix,Brown,Young,Adopted,Stray,Normal,Intact Male,1 year,NA,Neutered Male
A693846,2017-05-11,2017-05-17,Zuma,Dog,Manchester Terrier Mix,Red,Young,Returned to Owner,Public Assist,Normal,Neutered Male,2 years,NA,Neutered Male
A791930,2019-03-26,2019-06-15,N/A,Cat,Domestic Shorthair Mix,Mixed,Baby,Adopted,Stray,Normal,Intact Female,0 years,NA,Spayed Female
A709760,2015-08-13,2015-08-13,Tommy,Dog,Shih Tzu/Cocker Spaniel,White,Adult,Returned to Owner,Stray,Normal,Neutered Male,15 years,NA,Neutered Male
A721133,2016-02-22,2016-04-05,Daryl,Dog,American Staffordshire Terrier Mix,Cream,Young,Adopted,Stray,Normal,Intact Male,2 years,NA,Neutered Male
A766806,2018-02-17,2018-04-10,Sara,Dog,Border Collie Mix,Black,Young,Transferred,Stray,Normal,Intact Female,1 year,Partner,Spayed Female
A705100,2015-06-13,2015-06-22,Harriet,Cat,Domestic Shorthair Mix,Mixed,Baby,Transferred,Stray,Normal,Intact Female,1 month,Partner,Intact Female
A370507,2014-10-27,2015-08-15,Emily,Cat,Domestic Shorthair Mix,Gray,Baby,Adopted,Owner Surrender,Normal,Spayed Female,10 years,Foster,Spayed Female
A676921,2014-04-17,2014-05-06,Pinto,Dog,Rat Terrier Mix,Mixed,Young,Adopted,Owner Surrender,Normal,Intact Male,2 years,NA,Neutered Male
A768719,2018-03-24,2018-03-28,N/A,Cat,Domestic Medium Hair Mix,Mixed,Young,Transferred,Stray,Normal,Intact Female,1 year,Snr,Intact Female
A708684,2015-07-30,2015-08-03,Bobbie,Cat,Domestic Shorthair Mix,Cream,Baby,Transferred,Owner Surrender,Normal,Intact Female,3 months,Partner,Spayed Female
A764489,2018-01-03,2018-01-09,Lola Baby,Dog,Border Collie/German Shorthair Pointer,Black,Young,Adopted,Stray,Normal,Intact Female,2 years,NA,Spayed Female
A628832,2016-06-29,2016-06-29,Lamby,Dog,Miniature Poodle Mix,White,Adult,Returned to Owner,Stray,Normal,Neutered Male,5 years,NA,Neutered Male
A793548,2019-04-26,NA,Lady,Dog,Pit Bull Mix,Black,N/A,In Shelter,Stray,Normal,Intact Female,2 years,NA,NA
A707361,2015-07-11,2015-07-18,Tito,Cat,Siamese Mix,Mixed,Baby,Adopted,Stray,Sick,Intact Male,1 month,NA,Intact Male
A771786,2018-05-10,2018-05-10,N/A,Other,Rabbit,White,Baby,Transferred,Owner Surrender,Nursing,Unknown,2 days,Partner,Unknown
A683291,2014-07-09,2014-07-13,N/A,Cat,Siamese Mix,Mixed,Baby,Adopted,Stray,Normal,Intact Male,3 months,NA,Neutered Male
A727067,2016-05-17,2016-05-19,N/A,Dog,Chihuahua Shorthair Mix,Black,Baby,Transferred,Owner Surrender,Normal,Intact Male,0 years,Partner,Intact Male
A699015,2015-03-21,2015-03-22,N/A,Cat,Domestic Longhair Mix,Orange,Adult,Transferred,Stray,Normal,Intact Male,3 years,SCRP,Intact Male
A716921,2015-11-28,2015-12-31,Lucy,Dog,Labrador Retriever Mix,Cream,Young,Adopted,Stray,Normal,Spayed Female,1 year,Foster,Spayed Female
A722713,2016-03-21,2016-03-28,Tetch,Dog,Chihuahua Shorthair Mix,Cream,Adult,Transferred,Stray,Normal,Intact Male,3 years,Partner,Intact Male
A716802,2015-11-25,2016-01-06,Emily,Cat,Domestic Shorthair Mix,Mixed,Baby,Adopted,Stray,Normal,Intact Female,1 month,Foster,Spayed Female
A696418,2015-02-04,2015-02-14,Huckleberry,Dog,Black/Tan Hound Mix,Brown,Young,Adopted,Owner Surrender,Normal,Neutered Male,1 year,NA,Neutered Male
A698566,2015-03-13,2015-03-27,Winston,Dog,Chihuahua Shorthair Mix,White,Young,Adopted,Stray,Nursing,Intact Male,2 years,NA,Neutered Male
A750761,2017-05-31,2017-09-19,Willie,Dog,Labrador Retriever Mix,Black,Adult,Adopted,Owner Surrender,Normal,Neutered Male,8 years,Foster,Neutered Male
A759522,2017-10-03,2017-10-03,N/A,Other,Opossum,Gray,Young,Deceased,Wildlife,Injured,Unknown,1 year,Medical,Unknown
A769150,2018-06-09,2018-06-24,Gizmo,Dog,Beagle Mix,Mixed,Adult,Adopted,Public Assist,Normal,Neutered Male,3 years,Foster,Neutered Male
A764062,2017-12-20,2018-01-05,Dasher,Dog,Pit Bull Mix,Gray,Young,Transferred,Stray,Normal,Intact Male,1 year,Partner,Intact Male
A763540,2017-12-10,2018-06-07,Bentley,Cat,Domestic Shorthair Mix,Mixed,Baby,Adopted,Stray,Normal,Intact Male,1 month,Foster,Neutered Male
A667969,2013-11-25,2013-11-29,N/A,Dog,Labrador Retriever/German Shepherd,Cream,Baby,Transferred,Stray,Normal,Intact Female,5 months,Partner,Intact Female
A774738,2018-06-19,2018-06-23,Benny,Dog,Collie Rough Mix,Brown,Baby,Adopted,Stray,Normal,Intact Male,1 month,NA,Neutered Male
A736274,2016-10-08,2016-10-09,N/A,Cat,Domestic Shorthair Mix,Black,Young,Transferred,Stray,Normal,Intact Male,1 year,SCRP,Intact Male
A682050,2017-02-15,2017-04-13,Bobby,Dog,Siberian Husky/Labrador Retriever,Black,Adult,Adopted,Public Assist,Normal,Neutered Male,6 years,NA,Neutered Male
A779311,2018-08-29,2018-10-22,Roxy,Cat,Domestic Shorthair Mix,Mixed,Young,Transferred,Stray,Normal,Intact Female,11 months,Partner,Spayed Female
A729839,2016-06-24,2016-12-30,Jackson,Dog,Pit Bull Mix,Black,Young,Adopted,Stray,Normal,Intact Male,2 years,NA,Neutered Male
A719738,2016-01-26,2016-02-18,N/A,Other,Opossum,White,Young,Deceased,Wildlife,Injured,Intact Male,2 years,Suffering,Intact Male
A744809,2017-04-23,2017-08-06,Penelope,Cat,Domestic Shorthair Mix,Mixed,Young,Adopted,Owner Surrender,Normal,Spayed Female,1 year,NA,Spayed Female
